Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,SUPPLIER
C1,0.1uF,C-EUC0805,C0805,CAPACITOR,,,,,,
C2,22pf,C-EUC0805,C0805,CAPACITOR,,,,,,
C3,22pf,C-EUC0805,C0805,CAPACITOR,,,,,,
C4,0.1uF,C-EUC0805,C0805,CAPACITOR,,,,,,
C5,4.7uF,C-EUC0805,C0805,CAPACITOR,,,,,,
C6,0.22uF,C-EUC0805,C0805,CAPACITOR,,,,,,
C7,100nF,C-EUC0805,C0805,CAPACITOR,,,,,,
C8,0.1uF,C-EUC0805,C0805,CAPACITOR,,,,,,
C9,10 uF Pol,C-USC0805,C0805,CAPACITOR,,,,,,
R1,10k,R-US_R0805,R0805,RESISTOR,,,,,,
R2,10k,R-US_M0805,M0805,RESISTOR,,,,,,
R3,10k,R-US_M0805,M0805,RESISTOR,,,,,,
R4,10k,R-US_M0805,M0805,RESISTOR,,,,,,
R5,10k,R-US_M0805,M0805,RESISTOR,,,,,,
SJ1,,SJ2W,SJ_2,SMD solder JUMPER,,,,,,
SJ2,,SJ2W,SJ_2,SMD solder JUMPER,,,,,,
SV1,,MA03-2,MA03-2,PIN HEADER,,,unknown,unknown,,
U$2,FX8C-060S-SV(92),FX8C-060S-SV(92),FX8C-060S-SV(92),,,,,,,
U$3,FX8C-060P-SV(92),FX8C-060P-SV(92),FX8C-060P-SV(92),,,,,,,
U$4,AB3-47699,AB3-47699,ABM#-47699,,,,,,,
U$5,1210-047J,1210-047J,1210-047J,,,,,,,
U$6,MICROSD,MICROSD,MICROSD,,,,,,,
U$7,JST-SH-02,JST-SH-02,JST-SH-02,,,,,,,
U$8,DS1388,DS1388,DS1388,,,,,,,
U$9,AB25,AB25,ABS25,,,,,,,
U$10,6.8MM-BATTERY,6.8MM-BATTERY,6.8MM-BATTERY,,,,,,,
U1,ATMEGA328P-AU,ATMEGA328P-AU,QFP80P900X900X120-32N,8-bit Microcontroller with In-System Programmable Flash,,ATMEGA328P-AU,1715486,14R4631,TQFP-32,Atmel
U2,LSM9DS0,LSM9DS0,LGA-24,LSM9DS0 3D Accelerometer,,,,,,
U3,LTC2990IMSPBF,LTC2990IMSPBF,SOP50P490X110-10N,I2C Temperature,,,,,,
