"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C2";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C3";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C5";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C6";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C7";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C8";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C9";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C10";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C11";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C12";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C13";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C14";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C15";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C16";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C17";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C18";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C19";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C20";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C21";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C22";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C23";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C24";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C25";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C26";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C27";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C28";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C29";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C30";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C31";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C32";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C33";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C34";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C35";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"L1";" 10UH ";"ELL6SH100M-6XH";"IND_ELL6XH";"Choke Coils";"";
"L2";" 10UH ";"ELL6SH100M-6XH";"IND_ELL6XH";"Choke Coils";"";
"L3";" 10UH ";"ELL6SH100M-6XH";"IND_ELL6XH";"Choke Coils";"";
"L4";" 2.2UH ";"ELL3FU2R2N-3FU";"IND_ELL3FU";"Choke Coils";"";
"R1";"470k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"470k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"35.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"35.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"35.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"15k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R10";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"15k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R12";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R13";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R14";"15k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R15";"466k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R16";"466k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R17";"466k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R18";"787";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R19";"21.5k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R20";"35.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
